videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,commentId,sentiment
HUhHIzkhIzQ,"Keep the hard work bro, me and my friends started to do a indie game too a couple of weeks ago with some similarities with yours, good luck for u and for us kkkkk","Keep the hard work bro, me and my friends started to do a indie game too a couple of weeks ago with some similarities with yours, good luck for u and for us kkkkk",Jhulian Pereira,https://yt3.ggpht.com/ytc/AL5GRJUdXowDZY7w03-YYyimP3B1MGUAt1-QSf_vvlXT8g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCUANvfklmsebJFv0VRTFZYQ,{'value': 'UCUANvfklmsebJFv0VRTFZYQ'},TRUE,none,1,2023-02-11T01:08:06Z,2023-02-11T01:08:06Z,,UgyCwc9uXK1MnzjvDch4AaABAg,0.002083333
HUhHIzkhIzQ,Niceee I like it,Niceee I like it,Joshua Williams,https://yt3.ggpht.com/ytc/AL5GRJVvPuB3b9oXM1sd82Hpgcg01NcSmIa-OgJc0A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCtKrBSqKc3Bfjyiji8uHPGw,{'value': 'UCtKrBSqKc3Bfjyiji8uHPGw'},TRUE,none,1,2023-02-10T22:32:46Z,2023-02-10T22:32:46Z,,Ugytefr3Q3PshDiwsJ94AaABAg,0
HUhHIzkhIzQ,"looking awesome man, keep going","looking awesome man, keep going",David Adam,https://yt3.ggpht.com/ytc/AL5GRJXQ4FASW5445k2x_qIHTV53njzWyAs37W8DJw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCr4AhRRAVpbAoccIeYz7CzA,{'value': 'UCr4AhRRAVpbAoccIeYz7CzA'},TRUE,none,1,2023-02-10T22:28:41Z,2023-02-10T22:28:41Z,,Ugx0_GrHtqwX1ghbWqh4AaABAg,1
HUhHIzkhIzQ,If you want to add Multiplayer then maybe checkout godot 4. The API for Multiplayer so much better and less boilerplate code. I switch to godot cause that and the tilemap system.,If you want to add Multiplayer then maybe checkout godot 4. The API for Multiplayer so much better and less boilerplate code. I switch to godot cause that and the tilemap system.,Neil the Dev,https://yt3.ggpht.com/VaNL0FLyp4saks8zdTa1tX68cJ7PnAeaAbPYkOrG1K5Zx_fHTtf4S4QM7CVO257v8N49QCBn6ok=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCAPncrEOSnH6pJfEHaoGe_w,{'value': 'UCAPncrEOSnH6pJfEHaoGe_w'},TRUE,none,1,2023-02-08T13:49:33Z,2023-02-08T13:49:33Z,,UgxjQKHgLHQsYdrL1dl4AaABAg,0.077777778
HUhHIzkhIzQ,So cool!,So cool!,Oversized Pringle Toe,https://yt3.ggpht.com/qWaAZvucFDsa3kEzofXtjdLHxyooTA8-162hWE0e6u4TnQamSAkGYmV1nNHInSrAVDWW141SGw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCVVxEGLwKgoqX_Wwfz2nTtw,{'value': 'UCVVxEGLwKgoqX_Wwfz2nTtw'},TRUE,none,2,2023-02-06T18:59:34Z,2023-02-06T18:59:34Z,,UgytaYJVr4nSvb12Hud4AaABAg,0.35
HUhHIzkhIzQ,make a jojolion easter egg,make a jojolion easter egg,lux,https://yt3.ggpht.com/XtWlP0NjB7JpQ3H2QPYLiVujRWwWtUQG49cjy07W4i2HuEqT05MbtEkrIeQtZTTv8qvs--RafS8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UChEhF-PMo-aHBnylmhQ6lDQ,{'value': 'UChEhF-PMo-aHBnylmhQ6lDQ'},TRUE,none,0,2023-02-06T14:21:29Z,2023-02-06T14:21:29Z,,Ugx4arMORV-eJTRgKpd4AaABAg,0
HUhHIzkhIzQ,"Good luck on the game man,i have high hopes on this game,even if you give up,i will still play it,if i can find it","Good luck on the game man,i have high hopes on this game,even if you give up,i will still play it,if i can find it",Android 007,https://yt3.ggpht.com/ic7uK9VgIqcEtNmZ1rdfikh36wXUiyU8vErbVMiethCct5GXOyoMJeisyXSvfsyPTmRXN7y8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCRljTtwgWVFTuD2pttGqX4Q,{'value': 'UCRljTtwgWVFTuD2pttGqX4Q'},TRUE,none,1,2023-02-06T04:36:32Z,2023-02-06T04:36:32Z,,Ugxv9LntqN5FJMiznd14AaABAg,0.153333333
HUhHIzkhIzQ,I will be so excited for your game the moment it hits mobile I will try it out :D,I will be so excited for your game the moment it hits mobile I will try it out :D,sloppyhaydng,https://yt3.ggpht.com/vkhpz5JPx8FfXK52F5TrdJm0BCKTfmxQoBk8v5AfiQlkErMefPdvHhZY187U4VKrVtOiKYcC=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC7HgB1JY5_eh_80AG-_Ee4w,{'value': 'UC7HgB1JY5_eh_80AG-_Ee4w'},TRUE,none,1,2023-02-06T01:56:36Z,2023-02-06T01:56:36Z,,Ugx61JGyGMnsLWUhDuN4AaABAg,-0.0125
HUhHIzkhIzQ,"Before you Finnish this game, make a corndog secret. Please?","Before you Finnish this game, make a corndog secret. Please?",Mr. Tank,https://yt3.ggpht.com/sHDvZ0XdjhRdWlfv51YwOog-qTnrVeGVK5Drd8V2Db5w7SWfFQ2LNG-CSbMVXCSz2CJ18Drx5A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCR2ruB-50IRwUznY5ApxCZw,{'value': 'UCR2ruB-50IRwUznY5ApxCZw'},TRUE,none,1,2023-02-06T01:19:07Z,2023-02-06T01:19:07Z,,UgxJWAkcvQOwf93W6Sd4AaABAg,-0.4
HUhHIzkhIzQ,hype for this game,hype for this game,Tye,https://yt3.ggpht.com/T_0C_gF6NbeOmmUp5Ch6psDGilAfZMFjogr4H9Xx9mcDDcLR2aTFgKWE0Ol31hIuki1rmY0f=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC0em7t8EYGlvWD6_SqO22yg,{'value': 'UC0em7t8EYGlvWD6_SqO22yg'},TRUE,none,1,2023-02-03T18:08:23Z,2023-02-03T18:08:23Z,,Ugwo4Z1qUjKYCEvSwCN4AaABAg,-0.4
